Job Title,Salary Estimate,salary_min,salary_max,salary_avg,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
Senior Data Analyst,99-178 ,99,178,138.5,4.0,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",0
Research Data Analyst,99-178 ,99,178,138.5,4.1,"UC San Francisco
4.1","San Francisco, CA","San Francisco, CA",10000+ employees,1864,College / University,-1,-1,$25 to $50 million (USD),-1,0
Data Analyst - Health,93-159 ,93,159,126.0,3.4,"Impaq International, Llc
3.4","Oakland, CA","Columbia, MD",201 to 500 employees,2001,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0
Operations Data Analyst,93-159 ,93,159,126.0,5.0,"Turn/River Capital
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1,0
Data Analyst,93-159 ,93,159,126.0,3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",93-159 ,93,159,126.0,3.8,"EY
3.8","San Francisco, CA","London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),"Deloitte, KPMG, PwC",0
Data Analyst,93-159 ,93,159,126.0,4.1,"RGP
4.1","San Francisco, CA","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",0
Business Data Analyst - Senior/Director - Work from Remote,93-159 ,93,159,126.0,2.5,"Vinsari LLC
2.5","San Francisco, CA","Irving, TX",51 to 200 employees,-1,Other Organization,-1,-1,Unknown / Non-Applicable,-1,0
Market Data Services Analyst,93-159 ,93,159,126.0,3.2,"Evolver, Inc.
3.2","San Francisco, CA","Reston, VA",201 to 500 employees,2000,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0
"Financial Data Analyst, FP&A and Accounting",93-159 ,93,159,126.0,3.7,"Lyft
3.7","San Francisco, CA","San Francisco, CA",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,1
