work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,Data Analyst 2,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Entry Level Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Marketing Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data/Information Mgt Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Business Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Information Systems Officer (Data Analyst),,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Media Science Big Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data analyst with Python,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,"Healthcare Data Analyst, Qsight",,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,BA/Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst Python,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,"Data Analyst, Bitcoin Trading Firm",,USA,69500.0,69500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst-BA,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analytics Solutions Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Quantitative Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69500.0,69500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,"Descriptive Analytics Data Analyst, IB",,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"Jersey City, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,69000.0,69000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
